2021-07-07 11:18:56 [main] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6602d11b: startup date [Wed Jul 07 11:18:56 CST 2021]; root of context hierarchy
2021-07-07 11:18:57 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2021-07-07 11:18:57 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-07-07 11:18:59 [main] INFO  com.wondersgroup.cloud.view.ViewApplication - The following profiles are active: dev
2021-07-07 11:18:59 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6e0c7754: startup date [Wed Jul 07 11:18:59 CST 2021]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@6602d11b
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.basy.service.TextService' with new target name 'com.wondersgroup.cloud.view.common.service.CommonService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.common.service.CommonService' with new target name 'com.wondersgroup.cloud.view.disease.service.DiseaseBzcxService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.disease.service.DiseaseBzcxService' with new target name 'com.wondersgroup.cloud.view.disease.service.DiseaseManageService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.disease.service.DiseaseManageService' with new target name 'com.wondersgroup.cloud.view.disease.service.DiseaseZdbztzService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.disease.service.DiseaseZdbztzService' with new target name 'com.wondersgroup.cloud.view.disease.service.DiseaseZdbzzlzService'
2021-07-07 11:19:01 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory - Overriding alias 'service-lizhuFeignClient' definition for registered name 'com.wondersgroup.cloud.view.disease.service.DiseaseZdbzzlzService' with new target name 'com.wondersgroup.cloud.view.disease.service.DiseaseZdssxgxService'
